Customer_ID,Age,Gender,City,Monthly_Income,Balance,Credit_Score,Account_Type,Loan_Amount,Loan_Status,Transaction_Count,Transaction_Value,Customer_Since,Quality_Score,Churn_Risk,Fraud_Flag
100001,56,Female,Vizag,96820.0,284274.0,624.0,Savings,1373389,Active,27,20354,2021-07-19,10.0,Medium,No
100002,61,Female,Hyderabad,35311.0,280837.0,607.0,Savings,547148,Closed,28,31576,2024-09-17,10.0,Medium,No
100003,33,Male,Bangalore,124654.0,711813.0,713.0,Savings,1786947,No Loan,55,30783,2016-08-23,10.0,Medium,No
100004,31,Female,Bangalore,194969.0,504196.0,760.0,Current,3639149,Closed,34,76832,2019-05-05,10.0,Low,No
100005,57,Female,Bangalore,118953.0,643083.0,695.0,Savings,2438852,No Loan,62,288202,2016-03-31,10.0,Medium,No
100006,31,Male,Mumbai,95591.0,675561.0,760.0,Savings,2062351,Active,52,58976,2020-08-24,10.0,Low,No
100007,62,Male,Hyderabad,32568.0,216038.0,765.0,Savings,172011,Active,33,106485,2024-10-01,10.0,Low,No
100008,56,Female,Hyderabad,52662.0,373912.0,582.0,Savings,330252,Active,39,131391,2019-04-20,10.0,High,No
100009,18,Male,Hyderabad,128806.0,853443.0,636.0,Savings,2474782,Active,42,190299,2024-01-26,10.0,Medium,No
100010,69,Male,Mumbai,189213.0,536605.0,692.0,Current,3805266,Active,29,35539,2022-03-10,10.0,Medium,No
100011,59,Male,Bangalore,149556.0,1081104.0,593.0,Current,1993611,No Loan,42,88340,2021-02-15,10.0,High,No
100012,50,Male,Hyderabad,167848.0,1159508.0,752.0,Current,1391983,Closed,99,169523,2016-10-25,10.0,Low,No
100013,32,Male,Bangalore,108840.0,481401.0,835.0,Savings,2639255,Active,33,58798,2023-08-19,10.0,Low,No
100014,66,Female,Mumbai,152181.0,334540.0,678.0,Savings,1490040,Active,45,71516,2017-04-15,10.0,Medium,No
100015,28,Female,Hyderabad,55342.0,377368.0,747.0,Savings,977926,Closed,39,75796,2024-04-20,10.0,Medium,No
100016,33,Male,Vizag,22811.0,138357.0,844.0,Savings,483365,Active,19,43492,2022-02-11,8.92,Low,No
100017,35,Female,Hyderabad,38155.0,244623.0,808.0,Savings,860272,Active,35,104944,2024-12-22,10.0,Low,No
100018,66,Female,Vizag,40932.0,302999.0,558.0,Savings,432955,No Loan,44,102092,2019-08-24,10.0,High,No
100019,41,Female,Hyderabad,62711.0,420918.0,761.0,Savings,440822,Closed,18,53447,2022-11-09,10.0,Low,No
100020,52,Female,Vizag,114179.0,716253.0,670.0,Savings,979250,Active,71,133925,2022-06-28,10.0,Medium,No
100021,29,Male,Bangalore,59830.0,209570.0,758.0,Savings,881585,No Loan,21,71462,2023-01-05,10.0,Low,No
100022,50,Male,Hyderabad,75714.0,411280.0,666.0,Savings,1884597,Closed,46,177777,2017-11-26,10.0,Medium,No
100023,41,Male,Bangalore,155294.0,1208454.0,840.0,Current,1725928,Active,80,174167,2019-10-25,10.0,Low,No
100024,20,Female,Hyderabad,102991.0,620712.0,626.0,Savings,1582620,No Loan,63,230654,2023-11-22,10.0,Medium,No
100025,56,Male,Bangalore,69592.0,394522.0,684.0,Savings,1045990,No Loan,44,179566,2017-08-29,10.0,Medium,No
100026,68,Male,Hyderabad,62097.0,159209.0,635.0,Savings,718030,Active,33,144270,2021-06-10,9.48,Medium,No
100027,69,Female,Chennai,125285.0,654300.0,557.0,Savings,2555797,Active,31,22709,2023-01-10,10.0,High,No
100028,47,Male,Mumbai,243687.0,1549008.0,773.0,Current,4701185,Active,95,365578,2018-10-01,10.0,Low,No
100029,54,Female,Vizag,71990.0,328986.0,778.0,Savings,609459,Active,29,107754,2016-05-02,10.0,Low,No
100030,62,Male,Mumbai,184572.0,1186314.0,571.0,Savings,3617756,Active,52,54118,2024-03-10,10.0,High,No
100031,31,Female,Hyderabad,108832.0,421014.0,846.0,Current,1576265,Active,36,46058,2019-10-24,10.0,Low,No
100032,54,Male,Hyderabad,128116.0,937819.0,787.0,Savings,2244233,Closed,86,106055,2022-10-10,10.0,Low,No
100033,33,Male,Vizag,69115.0,381145.0,801.0,Current,1281624,Closed,39,163522,2018-07-15,10.0,Low,No
100034,20,Male,Vizag,89449.0,289824.0,511.0,Savings,627534,Active,28,22969,2017-02-14,10.0,High,No
100035,46,Female,Mumbai,247869.0,1707026.0,845.0,Savings,4674265,Active,58,138083,2023-05-27,10.0,Low,No
100036,53,Female,Bangalore,87295.0,476242.0,685.0,Savings,1085981,No Loan,55,239957,2024-06-02,10.0,Medium,No
100037,30,Male,Chennai,141888.0,738663.0,735.0,Savings,1554057,Active,77,332035,2015-09-22,10.0,Medium,No
100038,24,Female,Vizag,84895.0,415571.0,643.0,Savings,1185890,Active,40,155427,2023-10-28,10.0,Medium,No
100039,33,Male,Hyderabad,119780.0,594889.0,771.0,Savings,1656630,No Loan,27,30873,2023-08-12,10.0,Low,No
100040,61,Male,Hyderabad,31542.0,143722.0,686.0,Savings,676172,No Loan,10,49398,2019-02-28,8.34,Medium,No
100041,62,Male,Vizag,111792.0,858952.0,681.0,Current,1341991,No Loan,55,202008,2016-12-14,10.0,Medium,No
100042,43,Male,Hyderabad,74482.0,262332.0,775.0,Savings,456281,Active,25,96430,2020-06-19,10.0,Low,No
100043,45,Female,Bangalore,68016.0,169859.0,766.0,Savings,1650370,Active,23,103733,2023-01-12,10.0,Low,No
100044,38,Male,Vizag,111362.0,687378.0,696.0,Savings,1958631,Closed,60,187764,2022-05-27,10.0,Medium,No
100045,40,Male,Vizag,119657.0,921654.0,801.0,Current,2082349,Active,60,125405,2023-11-24,10.0,Low,No
100046,45,Female,Bangalore,44835.0,354970.0,794.0,Savings,475038,Closed,28,30781,2024-11-27,10.0,Low,No
100047,23,Female,Bangalore,90990.0,683795.0,529.0,Savings,2031013,Active,39,161752,2015-08-12,10.0,High,No
100048,64,Male,Bangalore,63833.0,273546.0,576.0,Current,1045688,Active,13,7299,2022-11-10,10.0,High,No
100049,23,Female,Chennai,128142.0,832854.0,522.0,Current,2611501,No Loan,50,126372,2020-03-16,10.0,High,No
100050,18,Male,Bangalore,97091.0,327376.0,531.0,Savings,576519,Active,24,63430,2017-02-09,10.0,High,No
100051,67,Female,Chennai,103963.0,557826.0,606.0,Current,1746486,Closed,57,192496,2020-10-23,10.0,Medium,No
100052,68,Male,Hyderabad,108587.0,855967.0,631.0,Current,1394787,Closed,59,165964,2023-04-20,10.0,Medium,No
100053,32,Female,Bangalore,83088.0,639538.0,833.0,Savings,1814793,No Loan,21,69166,2019-01-13,10.0,Low,No
100054,30,Female,Mumbai,183087.0,,800.0,Savings,1384305,Active,59,77789,2019-09-16,10.0,Low,No
100055,42,Male,Vizag,53434.0,320889.0,771.0,Savings,506393,No Loan,25,16078,2022-11-25,10.0,Low,No
100056,18,Male,Bangalore,189849.0,1398295.0,544.0,Savings,2170288,Active,100,280245,2015-04-17,10.0,High,No
100057,65,Male,Hyderabad,94291.0,644687.0,729.0,Savings,866250,Active,57,123126,2024-01-01,10.0,Medium,No
100058,19,Male,Hyderabad,176106.0,618945.0,610.0,Current,3854751,No Loan,60,125619,2020-03-21,10.0,Medium,No
100059,32,Female,Bangalore,151076.0,467384.0,666.0,Savings,1394274,Active,49,155387,2019-05-23,10.0,Medium,No
100060,27,Male,Mumbai,164049.0,413653.0,683.0,Savings,2650186,Closed,34,68629,2022-07-02,10.0,Medium,No
100061,43,Female,Mumbai,115703.0,577298.0,770.0,Savings,1127472,Active,30,36691,2022-11-30,10.0,Low,No
100062,47,Male,Hyderabad,154040.0,382235.0,689.0,Savings,2917398,No Loan,43,199016,2020-02-14,10.0,Medium,No
100063,23,Female,Bangalore,53234.0,368654.0,635.0,Savings,773617,No Loan,43,159069,2016-12-24,10.0,Medium,No
100064,50,Female,Hyderabad,157534.0,983544.0,687.0,Current,2618965,Active,73,53524,2016-11-20,10.0,Medium,No
100065,27,Male,Hyderabad,163291.0,524226.0,733.0,Current,1648065,Closed,51,133726,2020-07-31,10.0,Medium,No
100066,52,Female,Hyderabad,113524.0,792819.0,727.0,Current,2685837,No Loan,47,219444,2024-04-14,10.0,Medium,No
100067,39,Female,Chennai,38007.0,264819.0,709.0,Savings,314436,Active,36,102736,2015-05-12,10.0,Medium,No
100068,42,Male,Mumbai,83303.0,392498.0,681.0,Savings,1187367,Active,39,60253,2018-06-02,10.0,Medium,No
100069,64,Male,Mumbai,167796.0,1248206.0,728.0,Current,2287153,Active,100,125028,2019-07-05,10.0,Medium,No
100070,46,Male,Mumbai,180518.0,981820.0,834.0,Current,2028018,Active,38,116451,2024-11-02,10.0,Low,No
100071,22,Male,Chennai,76197.0,527858.0,608.0,Savings,575270,Active,33,50543,2022-12-01,10.0,Medium,No
100072,62,Female,Hyderabad,105683.0,555506.0,618.0,Savings,2275986,No Loan,31,74591,2015-12-12,10.0,Medium,No
100073,63,Male,Hyderabad,103319.0,520245.0,660.0,Current,2016984,Closed,55,223045,2020-02-07,10.0,Medium,No
100074,59,Male,Mumbai,149945.0,361896.0,755.0,Savings,3551798,No Loan,22,108499,2019-07-04,10.0,Low,No
100075,53,Female,Chennai,130158.0,503537.0,792.0,Savings,1689457,Active,52,27083,2017-07-25,10.0,Low,No
100076,52,Male,Bangalore,179649.0,861273.0,740.0,Savings,2523055,Active,38,49162,2020-06-13,10.0,Medium,No
100077,69,Female,Hyderabad,76240.0,318253.0,699.0,Savings,716804,Active,43,110314,2015-05-28,10.0,Medium,No
