Customer_ID,Age,Gender,City,Monthly_Income,Balance,Credit_Score,Account_Type,Loan_Amount,Loan_Status,Transaction_Count,Transaction_Value,Customer_Since,Quality_Score,Churn_Risk,Fraud_Flag
100001,56,Female,Vizag,96820,284274,624,Savings,1373389,Active,27,20354,2021-07-19,10,Medium,No
100002,61,Female,Hyderabad,35311,280837,607,Savings,547148,Closed,28,31576,2024-09-17,10,Medium,No
100003,33,Male,Bangalore,124654,711813,713,Savings,1786947,"No Loan",55,30783,2016-08-23,10,Medium,No
100004,31,Female,Bangalore,194969,504196,760,Current,3639149,Closed,34,76832,2019-05-05,10,Low,No
100005,57,Female,Bangalore,118953,643083,695,Savings,2438852,"No Loan",62,288202,2016-03-31,10,Medium,No
100006,31,Male,Mumbai,95591,675561,760,Savings,2062351,Active,52,58976,2020-08-24,10,Low,No
100007,62,Male,Hyderabad,32568,216038,765,Savings,172011,Active,33,106485,2024-10-01,10,Low,No
100008,56,Female,Hyderabad,52662,373912,582,Savings,330252,Active,39,131391,2019-04-20,10,High,No
100009,18,Male,Hyderabad,128806,853443,636,Savings,2474782,Active,42,190299,2024-01-26,10,Medium,No
100010,69,Male,Mumbai,189213,536605,692,Current,3805266,Active,29,35539,2022-03-10,10,Medium,No
100011,59,Male,Bangalore,149556,1081104,593,Current,1993611,"No Loan",42,88340,2021-02-15,10,High,No
100012,50,Male,Hyderabad,167848,1159508,752,Current,1391983,Closed,99,169523,2016-10-25,10,Low,No
100013,32,Male,Bangalore,108840,481401,835,Savings,2639255,Active,33,58798,2023-08-19,10,Low,No
100014,66,Female,Mumbai,152181,334540,678,Savings,1490040,Active,45,71516,2017-04-15,10,Medium,No
100015,28,Female,Hyderabad,55342,377368,747,Savings,977926,Closed,39,75796,2024-04-20,10,Medium,No
100016,33,Male,Vizag,22811,138357,844,Savings,483365,Active,19,43492,2022-02-11,8.92,Low,No
100017,35,Female,Hyderabad,38155,244623,808,Savings,860272,Active,35,104944,2024-12-22,10,Low,No
100018,66,Female,Vizag,40932,302999,558,Savings,432955,"No Loan",44,102092,2019-08-24,10,High,No
100019,41,Female,Hyderabad,62711,420918,761,Savings,440822,Closed,18,53447,2022-11-09,10,Low,No
100020,52,Female,Vizag,114179,716253,670,Savings,979250,Active,71,133925,2022-06-28,10,Medium,No
100021,29,Male,Bangalore,59830,209570,758,Savings,881585,"No Loan",21,71462,2023-01-05,10,Low,No
